CMDLINE C:\Users\avark\AppData\Local\Programs\Python\Python311\python.exe main.py
CHLD 34072 16.925781 1774893930.7585
CHLD 13624 16.738281 1774893930.7585
MEM 11.937500 1774893930.8594
CHLD 34668 16.582031 1774893930.8644
CHLD 34072 16.925781 1774893930.8664
CHLD 13624 16.738281 1774893930.8664
MEM 11.937500 1774893930.9666
CHLD 34668 16.582031 1774893930.9726
CHLD 34072 16.925781 1774893930.9726
CHLD 13624 16.738281 1774893930.9726
MEM 11.937500 1774893931.0736
CHLD 34668 16.582031 1774893931.0796
CHLD 34072 16.925781 1774893931.0796
CHLD 13624 16.738281 1774893931.0796
MEM 11.937500 1774893931.1813
CHLD 34668 16.582031 1774893931.1866
CHLD 34072 16.925781 1774893931.1866
CHLD 13624 16.738281 1774893931.1866
MEM 11.937500 1774893931.2889
CHLD 34668 16.582031 1774893931.2950
CHLD 34072 16.925781 1774893931.2950
CHLD 13624 16.738281 1774893931.2950
MEM 11.937500 1774893931.3972
CHLD 34668 16.582031 1774893931.4037
CHLD 34072 16.925781 1774893931.4037
CHLD 13624 16.738281 1774893931.4037
MEM 11.937500 1774893931.5039
CHLD 34668 16.582031 1774893931.5113
CHLD 34072 16.925781 1774893931.5113
CHLD 13624 16.738281 1774893931.5113
MEM 11.937500 1774893931.6115
CHLD 34668 16.582031 1774893931.6176
CHLD 34072 16.925781 1774893931.6176
CHLD 13624 16.738281 1774893931.6176
MEM 11.937500 1774893931.7186
CHLD 34668 16.582031 1774893931.7247
CHLD 34072 16.925781 1774893931.7247
CHLD 13624 16.738281 1774893931.7247
MEM 11.937500 1774893931.8266
CHLD 34668 16.582031 1774893931.8312
CHLD 34072 16.925781 1774893931.8312
CHLD 13624 16.738281 1774893931.8312
MEM 11.937500 1774893931.9338
CHLD 34668 16.582031 1774893931.9399
CHLD 34072 16.925781 1774893931.9399
CHLD 13624 16.738281 1774893931.9399
MEM 11.937500 1774893932.0414
CHLD 34668 16.582031 1774893932.0474
CHLD 34072 16.925781 1774893932.0474
CHLD 13624 16.738281 1774893932.0474
MEM 11.937500 1774893932.1491
CHLD 34668 16.582031 1774893932.1558
CHLD 34072 16.925781 1774893932.1558
CHLD 13624 16.738281 1774893932.1558
MEM 11.937500 1774893932.2566
CHLD 34668 16.582031 1774893932.2614
CHLD 34072 16.925781 1774893932.2614
CHLD 13624 16.738281 1774893932.2614
MEM 11.937500 1774893932.3643
CHLD 34668 16.582031 1774893932.3708
CHLD 34072 16.925781 1774893932.3708
CHLD 13624 16.738281 1774893932.3708
MEM 11.937500 1774893932.4716
CHLD 34668 16.582031 1774893932.4776
CHLD 34072 16.925781 1774893932.4776
CHLD 13624 16.738281 1774893932.4776
MEM 11.937500 1774893932.5793
CHLD 34668 16.582031 1774893932.5860
CHLD 34072 16.925781 1774893932.5860
CHLD 13624 16.742188 1774893932.5860
MEM 11.937500 1774893932.6875
CHLD 34668 16.582031 1774893932.6935
CHLD 34072 16.925781 1774893932.6935
CHLD 13624 16.742188 1774893932.6935
MEM 11.937500 1774893932.7950
CHLD 34668 16.582031 1774893932.8011
CHLD 34072 16.925781 1774893932.8011
CHLD 13624 16.742188 1774893932.8011
MEM 11.937500 1774893932.9028
CHLD 34668 16.582031 1774893932.9068
CHLD 34072 16.925781 1774893932.9068
CHLD 13624 16.742188 1774893932.9068
MEM 11.937500 1774893933.0099
CHLD 34668 16.582031 1774893933.0161
CHLD 34072 16.925781 1774893933.0161
CHLD 13624 16.742188 1774893933.0161
MEM 11.937500 1774893933.1176
CHLD 34668 16.582031 1774893933.1239
CHLD 34072 16.925781 1774893933.1239
CHLD 13624 16.742188 1774893933.1239
MEM 11.937500 1774893933.2245
CHLD 34668 16.582031 1774893933.2265
CHLD 34072 16.925781 1774893933.2265
CHLD 13624 16.742188 1774893933.2265
MEM 11.937500 1774893933.3318
CHLD 34668 16.582031 1774893933.3375
CHLD 34072 16.925781 1774893933.3375
CHLD 13624 16.742188 1774893933.3375
MEM 11.937500 1774893933.4388
CHLD 34668 16.582031 1774893933.4452
CHLD 34072 16.925781 1774893933.4452
CHLD 13624 16.742188 1774893933.4452
MEM 11.937500 1774893933.5465
CHLD 34668 16.582031 1774893933.5531
CHLD 34072 16.925781 1774893933.5531
